base,5-membered heterocyclic ring,6-membered heterocyclic ring,Aliphatic carboxyl group,Aliphatic hydroxyl group,Aromatic carboxyl group,Aromatic nitrogen,Aromatic amino group,Aromatic hydroxyl group,Carbonyl group,Tertiary amine group,Primary amino group,Secondary amino group,Amide group,Aniline group,Benzene ring,Guanidine group,Imidazole ring,Nitrile group,Oxazole ring,Oxime group,Phosphoric acid group,Methyl group,Thiazole ring,Thiophene ring
A,0.2,0.228070175438596,0.0588235294117647,0.117647058823529,0,0.107692307692308,0.08,0.636363636363636,0.131578947368421,0.285714285714286,0.177777777777778,0.171717171717172,0,0,0.0909090909090909,0.0625,0.302325581395349,0.0,0.0,0,0.0,0.105263157894737,0,0.0
T/U,0.0,0.175438596491228,0.0,0.235294117647059,0,0.753846153846154,0.88,0.0909090909090909,0.0526315789473684,0.5,0.2,0.373737373737374,0,0,0.136363636363636,0.3125,0.255813953488372,0.8,0.333333333333333,0,0.0,0.473684210526316,1,0.363636363636364
C,0.0,0.105263157894737,0.117647058823529,0.117647058823529,0,0.107692307692308,0.04,0.0,0.578947368421053,0.142857142857143,0.466666666666667,0.212121212121212,0,0,0.0606060606060606,0.0625,0.186046511627907,0.0,0.0,0,0.117647058823529,0.210526315789474,0,0.0
G,0.8,0.491228070175439,0.823529411764706,0.529411764705882,1,0.0307692307692308,0.0,0.272727272727273,0.236842105263158,0.0714285714285714,0.155555555555556,0.242424242424242,1,1,0.712121212121212,0.5625,0.255813953488372,0.2,0.666666666666667,1,0.882352941176471,0.210526315789474,0,0.636363636363636
